,Cs,FA,MA,Pb,Sn,I,Br,BG,CBM,VBM
0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.55,-3.9,-5.45
1,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.8,-3.6,-5.4
2,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.91,-3.69,-5.6
3,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.3,-3.3,-5.6
4,0.0,0.5,0.5,0.5,0.5,3.0,0.0,1.25,-4.15,-5.4
5,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.61,-4.06,-5.67
6,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.79,-3.85,-5.64
7,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.82,-3.76,-5.58
8,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.08,-3.92,-6.0
9,1.0,0.0,0.0,0.4,0.6,2.4,0.6,1.35,-3.86,-5.21
10,1.0,0.0,0.0,0.4,0.6,3.0,0.0,1.3,-3.66,-4.96
11,1.0,0.0,0.0,0.4,0.6,2.7,0.3,1.33,-3.76,-5.09
12,1.0,0.0,0.0,0.4,0.6,2.0,1.0,1.42,-4.06,-5.48
13,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.56,-3.96,-5.52
14,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.75,-3.78,-5.53
15,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.15,-3.39,-5.54
16,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.4,-4.5,-5.9
17,0.0,0.0,1.0,0.95,0.05,3.0,0.0,1.5,-3.82,-5.32
18,0.0,0.0,1.0,0.9,0.1,3.0,0.0,1.46,-3.66,-5.12
19,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.6,-3.85,-5.45
20,0.0,0.0,1.0,0.75,0.25,3.0,0.0,1.38,-3.58,-4.96
21,0.0,0.0,1.0,0.5,0.5,2.4,0.6,1.35,-3.73,-5.08
22,0.0,0.25,0.75,0.0,1.0,3.0,0.0,1.28,-3.53,-4.81
23,0.0,0.5,0.5,0.0,1.0,3.0,0.0,1.3,-3.55,-4.85
24,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.26,-3.48,-4.74
25,0.0,0.75,0.25,0.0,1.0,3.0,0.0,1.33,-3.55,-4.88
26,0.0,0.9,0.1,1.0,0.0,2.7,0.3,1.6,-4.0,-5.6
27,0.0,0.15,0.85,1.0,0.0,2.55,0.45,1.75,-3.9,-5.65
28,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.78,-3.26,-6.04
29,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.39,-3.36,-5.75
30,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.73,-3.45,-5.18
31,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.51,-3.88,-5.39
32,0.0,0.0,1.0,0.7,0.3,3.0,0.0,1.31,-3.81,-5.12
33,0.0,0.0,1.0,0.5,0.5,3.0,0.0,1.28,-3.67,-4.95
34,0.0,0.0,1.0,0.3,0.7,3.0,0.0,1.23,-3.69,-4.92
